4,2,2397,0
4,2,2938,0
4,2,2944,0
4,2,2972,0
4,2,692,1
4,2,2116,0
4,2,3053,0
3,2,50,0
6,3,1347,0
4,2,2755,0
8,2,41,0
8,2,42,0
8,2,43,0
8,2,47,0
8,2,57,0
8,2,58,0
8,2,59,0
8,2,63,0
8,2,64,0
8,2,73,0
8,2,74,0
8,2,82,0
8,2,85,0
8,2,86,0
8,2,89,0
8,2,91,0
8,2,93,0
8,2,98,0
8,2,99,0
8,2,100,0
8,2,102,0
8,2,103,0
6,2,151,1
6,2,156,1
6,2,160,1
6,2,161,1
6,2,162,1
6,2,164,1
8,2,182,1
8,2,183,1
8,2,194,1
6,2,204,1
8,2,217,1
8,2,235,1
8,2,241,1
8,2,242,1
8,2,246,1
8,2,247,1
8,2,248,1
8,2,275,1
6,2,315,1
6,2,346,1
8,2,448,1
8,2,453,1
8,2,457,1
8,2,469,1
8,2,471,1
8,2,519,1
6,2,541,1
3,2,569,1
6,2,571,1
8,2,605,1
8,2,617,1
8,2,638,1
8,2,671,1
6,2,682,1
6,2,713,1
6,2,738,1
8,2,743,1
6,2,745,1
6,2,764,1
8,2,767,1
8,2,772,1
8,2,776,1
8,2,779,1
6,2,786,1
6,2,792,1
6,2,793,1
6,2,795,1
6,2,796,1
6,2,801,1
6,2,803,1
6,2,806,1
6,2,816,1
8,2,819,1
6,2,823,1
6,2,837,1
8,2,861,1
6,2,873,1
6,2,899,1
6,2,904,1
6,2,912,1
6,2,916,1
6,2,927,1
6,2,936,1
6,2,975,1
6,2,989,1
6,2,990,1
6,2,999,1
4,2,1017,1
4,2,1019,1
6,2,1036,1
8,2,1058,1
8,2,1060,1
8,2,1061,1
8,2,1064,1
8,2,1065,1
8,2,1066,1
8,2,1067,1
